;distance_from_home;distance_from_last_transaction;ratio_to_median_purchase_price;repeat_retailer;used_chip;used_pin_number;online_order;fraud
667236;14.21455693708116;2.622853342387915;4.226519567439469;1.0;0.0;0.0;1.0;1.0
5647;3.062721400952902;0.1707204415477177;0.5558134802813344;1.0;0.0;0.0;0.0;0.0
128429;70.93908736526937;0.5218678529095792;0.5657255269695856;1.0;1.0;0.0;1.0;0.0
572477;6.580783778882739;13.439899740934765;6.358786645209644;1.0;1.0;0.0;0.0;0.0
181467;25.666620613819948;0.8148641867682335;0.2844848904589802;1.0;0.0;0.0;1.0;0.0
185188;28.03530152838231;1.7941297280208646;1.2860587936778736;1.0;0.0;0.0;0.0;0.0
763970;58.83004050745178;0.7889943637132653;0.4315650428475429;1.0;1.0;1.0;0.0;0.0
558707;4.898068820113445;6.615326465390415;2.529113013715838;1.0;0.0;0.0;1.0;0.0
399326;16.141538842428954;4.134117469721409;1.059342594108835;1.0;1.0;1.0;1.0;0.0
940092;3.129342691361007;4.203169506156955;1.7300063361146747;1.0;1.0;0.0;1.0;0.0
957546;19.8722446864217;0.1064401802256621;0.6054922054172849;1.0;0.0;0.0;1.0;0.0
191167;8.371729372297414;1.233509250878034;4.0324374201581294;1.0;1.0;0.0;0.0;0.0
909036;20.16682815463928;2.467549008940391;3.1591650163809537;1.0;0.0;0.0;1.0;0.0
785960;2.2421932362861705;0.0207915459216139;0.5850785890885376;1.0;1.0;0.0;0.0;0.0
471918;21.42794948118396;0.0262589823965652;1.7394476606793734;1.0;1.0;0.0;0.0;0.0
525644;10.443762390151155;18.21319321059471;2.30626444450556;1.0;0.0;0.0;1.0;0.0
306979;0.7236916926635601;7.742121943177498;0.5697931947448294;0.0;0.0;0.0;1.0;0.0
175498;1.7200779528312329;1.0208151961776284;0.6925774237741413;0.0;0.0;0.0;0.0;0.0
494900;9.839843862750428;5.722878641805756;0.6309987981326863;1.0;0.0;0.0;0.0;0.0
293729;10.12892903854455;18.6576019700516;4.52461082717414;1.0;0.0;0.0;0.0;0.0
126725;32.72667271392784;1.853649136061411;5.067481265712092;1.0;1.0;1.0;1.0;0.0
375929;39.07906235432084;4.534591565530554;3.97546806606502;1.0;0.0;0.0;1.0;0.0
123054;10.44390596114994;10.863836672799858;5.407141066687959;1.0;0.0;0.0;1.0;1.0
537376;21.07585935652417;3.9503269720693233;1.7328104266836597;1.0;0.0;0.0;0.0;0.0
953210;1.0456540435947708;7.1051981666679405;0.9123340646613406;0.0;1.0;1.0;0.0;0.0
752387;8.183286428527587;0.8105166860127827;1.546754322156402;1.0;0.0;0.0;1.0;0.0
91434;31.69547564669745;0.6896286952681422;1.7419804210215108;1.0;0.0;0.0;1.0;0.0
356608;11.624133162605816;0.4788401686930905;0.3246756731389873;1.0;0.0;0.0;1.0;0.0
592359;22.083033927752894;2.494478070818583;1.569793584971133;1.0;0.0;1.0;0.0;0.0
909025;12.26727192578329;1.616670407097732;14.140091793847407;1.0;0.0;0.0;1.0;1.0
113854;66.8595584281959;0.2358887961388325;0.5219573591598283;1.0;0.0;0.0;0.0;0.0
816754;2.462070344020933;49.16101907729515;0.9066246281704842;1.0;1.0;0.0;0.0;0.0
277920;379.0772992602877;0.5655070342688168;4.773419205434603;1.0;0.0;0.0;1.0;1.0
557512;50.03332983346458;0.7181256877531784;0.5100724544892162;1.0;1.0;0.0;1.0;0.0
740926;3.069373654882301;0.4924422772286259;0.3600129177610661;1.0;0.0;0.0;0.0;0.0
262592;6.240854136386454;2.022967235325515;0.4271062840693936;1.0;0.0;0.0;1.0;0.0
551178;5.04624348884607;0.2992460442207401;0.3887342602089314;1.0;0.0;0.0;1.0;0.0
919843;8.702640311169379;0.674719468158998;1.3985743846428018;1.0;0.0;0.0;1.0;0.0
570040;14.28862712185441;0.0377841958935875;0.2735203193973451;1.0;0.0;0.0;0.0;0.0
892736;3.992051907012997;1.4153316232666904;6.020752744565028;1.0;0.0;0.0;0.0;0.0
503789;7.095495088108626;0.4447023868339706;0.919385766212152;1.0;0.0;0.0;1.0;0.0
855162;22.26606511253993;0.7373248764192462;0.3008629512597175;1.0;1.0;0.0;1.0;0.0
924651;16.381926384546105;2.9672080317292924;1.0475653803066358;1.0;0.0;1.0;1.0;0.0
661805;14.467850209651951;0.1323985379560069;1.2733625280871306;1.0;0.0;0.0;0.0;0.0
828924;10.951193589137077;0.0879912387626619;0.6864611246889735;1.0;0.0;1.0;1.0;0.0
522925;103.73298093405398;0.1477742308697198;1.7337516470434604;1.0;1.0;0.0;1.0;0.0
485551;19.242823695527235;0.9406575073817492;0.069414509323419;1.0;1.0;0.0;1.0;0.0
410108;0.8672794408140334;2.603332126293921;0.3201549905831905;0.0;0.0;0.0;1.0;0.0
315153;2.3193699304331163;0.4072445827570045;2.172798908074448;1.0;0.0;1.0;1.0;0.0
164829;6.060884165069742;0.7272205462394008;2.0385042126761754;1.0;0.0;0.0;0.0;0.0
28270;10.693848809822937;5.891813373958299;0.0438892986872933;1.0;1.0;0.0;1.0;0.0
98017;2.8929545580657647;8.173645914874298;1.2254462559388914;1.0;0.0;0.0;0.0;0.0
968538;27.269804596345068;0.1904887378807926;2.4866348833618885;1.0;0.0;0.0;1.0;0.0
536168;1.0291115466701306;0.6940333164131776;0.4386341868812194;0.0;0.0;0.0;1.0;0.0
367207;2.2135307651942835;7.907453111754094;0.4873537721084967;1.0;0.0;0.0;1.0;0.0
881698;9.308940027810056;3.800146363872277;1.7621593838109295;1.0;0.0;1.0;1.0;0.0
520484;1.1236311291031864;0.2349004668786657;3.943831924475064;0.0;0.0;0.0;1.0;0.0
900015;1.2777288335895538;6.23476220989863;0.2486196609523799;0.0;0.0;0.0;1.0;0.0
315506;36.7256979261989;0.1323077145875206;8.857409384966376;1.0;1.0;0.0;1.0;1.0
763178;11.946818604623155;4.400670671923275;1.313262987380421;1.0;0.0;0.0;1.0;0.0
